-------------Timings-----------.
preparationPhase,inputPreparation,computationPhase, verificationPhase, outputPhase, totalTime,
861,5,153,1483,2,2506,
830,3,147,1523,1,2505,
1015,1,229,1461,0,2708,
779,3,147,1390,0,2321,
772,7,145,1394,1,2320,
